CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
65535HBF5,30000000.0,2.229275793600107,1650165.0165016502,28349834.98349835,79.01165983000001,0.007901165983,378300.0
AO3387922,30000000.0,2.2439234016208855,1650165.0165016502,28349834.98349835,70.2221962,0.00702221962,304800.0
94974BGL8,30000000.0,2.2494048455592757,1650165.0165016502,28349834.98349835,56.29627372,0.005629627372,304800.0
686330AJ0,30000000.0,2.25993709367988,1650165.0165016502,28349834.98349835,57.08605082,0.005708605082,378300.0
AO8886308,30000000.0,2.347111558798041,1650165.0165016502,28349834.98349835,133.0108394,0.013301083940000001,456900.0
BZ0855750,30000000.0,2.3793458251970256,1650165.0165016502,28349834.98349835,55.48310434,0.005548310434,244800.00000000003
65558RAD1,30000000.0,2.3793458251970256,1650165.0165016502,28349834.98349835,55.48310434,0.005548310434,244800.00000000003
04686E2R2,30000000.0,2.380525205103184,1650165.0165016502,28349834.98349835,69.87680541,0.0069876805410000005,197100.0
BY6616951,30000000.0,2.3799761255141956,1650165.0165016502,28349834.98349835,71.63509722,0.007163509722000001,197100.0
37045XEX0,30000000.0,2.2524514377868243,1650165.0165016502,28349834.98349835,82.76637886,0.008276637886,456900.0
46115HBB2,30000000.0,2.276802538816231,1650165.0165016502,28349834.98349835,96.17636711,0.009617636711,378300.0
00138EBB9,30000000.0,2.3127132486848536,1650165.0165016502,28349834.98349835,64.1758942,0.0064175894200000005,244800.00000000003
65540KAJ4,30000000.0,2.259341653034026,1650165.0165016502,28349834.98349835,47.49373191,0.004749373191,197100.0
55279HAQ3,30000000.0,2.3439775069936575,1650165.0165016502,28349834.98349835,60.78566568,0.006078566568,304800.0
05964HAS4,30000000.0,2.286118321634258,1650165.0165016502,28349834.98349835,74.68111108,0.007468111107999999,304800.0
686330AQ4,16671400.0,2.369139861386528,1650165.0165016502,15021234.98349835,46.141723240000005,0.004614172324,210226.354
65540JAJ7,10328600.0,2.259341653034026,1650165.0165016502,8678434.98349835,47.49373191,0.004749373191,67858.902
EC5379283,1000000.0,5.411126802412582,1650165.0165016502,-650165.0165016502,101.8913374,0.01018913374,8160.000000000001
072732AC4,1000000.0,2.62425707237048,1650165.0165016502,-650165.0165016502,120.641379,0.0120641379,15230.0
556079AF8,1000000.0,5.823087187729309,1650165.0165016502,-650165.0165016502,134.0179404,0.013401794039999998,12610.0
2027A1JT5,1000000.0,2.4495067388421243,1650165.0165016502,-650165.0165016502,22.692795730000004,0.0022692795730000002,5230.0
05583JAE2,1000000.0,3.179435629432675,1650165.0165016502,-650165.0165016502,100.1447554,0.01001447554,12610.0
2027A0JT7,1000000.0,2.4495067388421243,1650165.0165016502,-650165.0165016502,22.692795730000004,0.0022692795730000002,5230.0
ZF3949285,1000000.0,3.4248686055389137,1650165.0165016502,-650165.0165016502,98.56713148,0.009856713148,10160.0
