date,00139PAA6,EC5379283,04685A3R0,04686E3X8,04685A2P5,04686E2R2,05964HAS4,06407EAE5,06407F2E1,13607HVE9,14913R2Q9,14912L6T3,14913UAE0,14913UAA8,BP4094119,AM6439740,AQ6089074,AZ1269218,191216DD9,205887AF9,126149AD5,21688ABD3,247025AE9,656531AJ9,30040WAV0,125581GX0,38141GES9,022249AU0,404280CF4,40428HA44,BT5886671,44920UAT5,472319AE2,BR4616800,24422EUB3,24422EWL9,ZL3159429,49327V2B9,ZI8616628,BQ2936111,501955AD0,53944YAD5,548661AK3,61238QAA6,ZS5181574,55279HAQ3,58769JAQ0,ZF2198033,59217GER6,59217HDB0,59217GFR5,59217HEB9,60687YAD1,64952WDS9,64952XDN8,65535HAQ2,656029AG0,BR3763231,656029AH8,BR3764569,66815L2F5,66815M2F3,66815L2K4,66815M2K2,AR7148604,674599DD4,717081DV2,742718FG9,744330AA9,74531EAA0,759470AX5,AQ1070327,780082AH6,BR3379137,913017AT6,AU7892469,78520LAB6,ZI7501953,86563VBM0,71644EAE2,87020PAV9,ZK9217678,879385AD4,880451AV1,89114TZG0,891160TD5,ZK8284158,89236THX6,89236TJK2,89236TJW6,89236TLD5,89236TKR5,25468PDM5,902613BB3,92857WAB6,929089AB6,949746TB7,961214ET6,96122XAQ1,96122WAQ3,96122QAC7,96122FAC1,96122QAA1,96122FAA5
2024-03-01,109.334,109.334,100.011,100.011,89.96,89.96,99.616,92.427,92.427,91.742,91.316,94.441,99.529,98.919,92.838,96.64,96.488,93.457,87.475,104.348,106.335,100.279,107.868,109.579,98.908,101.848,102.406,104.503,98.484,100.363,92.508,92.508,103.486,91.814,95.121,97.444,101.108,89.353,100.383,82.65,82.65,96.208,107.313,106.789,97.808,91.463,99.664,99.664,92.206,92.206,98.999,98.999,96.49,79.352,79.352,88.131,90.742,90.742,81.485,81.485,91.623,91.623,97.832,97.832,98.019,110.966,95.785,95.045,89.32,106.091,94.849,94.849,90.879,90.879,106.35,97.945,97.945,102.048,102.048,105.285,100.615,100.615,114.08,107.008,91.292,99.605,99.605,81.547,91.946,84.169,101.289,99.187,93.219,98.416,106.792,96.271,111.845,83.235,97.943,97.943,100.346,100.346,99.313,99.313
2024-03-04,109.001,109.001,100.04,100.04,89.497,89.497,99.488,92.38,92.38,91.664,91.357,94.541,99.436,98.887,92.699,96.523,96.458,93.134,87.433,104.32,106.31,100.094,107.687,109.42,98.852,101.727,102.226,104.41,98.384,100.169,92.206,92.206,103.397,91.268,94.527,97.166,100.983,89.384,100.322,82.567,82.567,96.01,107.073,106.51,97.496,91.494,99.57,99.57,91.585,91.585,99.004,99.004,96.342,79.025,79.025,87.962,90.513,90.513,81.277,81.277,91.414,91.414,97.711,97.711,97.931,110.692,95.767,94.828,89.264,105.235,94.615,94.615,90.734,90.734,106.747,97.726,97.726,101.993,101.993,105.141,100.594,100.594,113.934,107.138,91.135,99.448,99.448,81.419,91.868,84.125,101.154,99.012,93.12,98.288,106.54,96.137,111.575,83.03,97.847,97.847,100.174,100.174,99.259,99.259
2024-03-05,109.199,109.199,100.051,100.051,89.67,89.67,99.55,92.516,92.516,91.82,91.368,94.762,99.43,98.808,92.944,96.717,96.647,93.343,87.58,104.385,106.518,100.202,107.586,109.705,98.845,102.137,102.263,104.54,98.695,100.258,92.358,92.358,103.352,91.225,94.752,97.257,101.145,89.441,100.458,82.919,82.919,96.086,107.255,106.65,97.677,91.45,99.65,99.65,91.646,91.646,99.1,99.1,96.459,79.349,79.349,88.198,90.61,90.61,81.631,81.631,91.621,91.621,97.86,97.86,98.114,110.973,95.84,94.921,89.541,105.9,94.756,94.756,90.827,90.827,106.949,97.962,97.962,102.232,102.232,105.205,100.585,100.585,114.428,107.251,91.212,99.541,99.541,81.735,92.006,84.372,101.235,99.268,93.238,98.408,106.762,96.224,111.728,83.456,98.045,98.045,100.475,100.475,99.459,99.459
2024-03-06,109.892,109.892,100.065,100.065,89.72,89.72,99.646,92.523,92.523,91.87,91.47,94.597,99.491,98.85,92.97,96.687,96.74,93.479,87.606,104.44,106.541,100.301,107.87,109.666,98.901,102.239,102.388,104.531,98.787,100.342,92.311,92.311,103.431,91.257,94.983,97.681,101.243,89.428,100.42,83.093,83.093,96.134,107.4,106.669,97.48,91.321,99.696,99.696,91.748,91.748,99.229,99.229,96.464,79.478,79.478,88.31,90.664,90.664,81.86,81.86,91.663,91.663,97.953,97.953,98.147,111.201,95.864,94.93,89.661,105.719,94.757,94.757,90.983,90.983,107.066,98.003,98.003,102.318,102.318,105.259,100.707,100.707,114.54,107.502,91.255,99.56,99.56,81.966,91.99,84.637,101.251,99.609,93.282,98.429,106.898,96.268,112.473,83.72,98.068,98.068,100.611,100.611,99.594,99.594
2024-03-07,109.623,109.623,100.204,100.204,90.029,90.029,99.864,92.654,92.654,91.949,91.544,94.681,99.692,98.977,93.039,96.88,96.887,93.75,87.764,104.531,106.677,100.442,107.78,109.872,99.033,102.464,102.494,104.941,99.246,100.54,92.439,92.439,103.603,91.19,94.828,97.818,101.388,89.645,100.565,83.228,83.228,96.238,107.556,106.87,97.993,91.618,99.813,99.813,91.776,91.776,99.421,99.421,96.622,79.691,79.691,88.546,90.733,90.733,82.067,82.067,91.844,91.844,98.036,98.036,98.359,111.452,95.966,95.162,89.881,105.536,94.924,94.924,91.075,91.075,107.425,97.843,97.843,102.455,102.455,105.345,100.703,100.703,114.724,107.479,91.382,99.671,99.671,81.965,92.094,84.792,101.375,99.518,93.379,98.532,107.372,96.376,112.812,83.882,98.205,98.205,100.833,100.833,99.717,99.717
2024-03-08,110.018,110.018,100.325,100.325,90.243,90.243,99.994,92.596,92.596,92.044,91.587,94.683,99.662,99.016,93.073,96.985,96.973,93.915,87.919,104.549,106.701,100.543,107.957,110.025,99.145,102.71,102.557,105.365,99.535,100.655,92.606,92.606,103.751,90.99,94.883,97.868,101.447,89.792,100.583,83.184,83.184,96.295,107.557,107.026,98.157,91.689,99.924,99.924,91.929,91.929,99.584,99.584,96.709,79.859,79.859,88.653,90.987,90.987,81.987,81.987,91.902,91.902,98.237,98.237,98.425,111.534,96.06,95.222,90.112,105.695,95.071,95.071,91.08,91.08,107.49,97.97,97.97,102.654,102.654,105.269,100.759,100.759,114.878,107.267,91.438,99.734,99.734,82.092,92.227,84.749,101.512,99.687,93.528,98.667,107.682,96.479,112.717,84.029,98.338,98.338,100.979,100.979,99.632,99.632
2024-03-11,110.029,110.029,100.422,100.422,90.334,90.334,99.814,92.568,92.568,91.863,91.562,94.932,99.622,98.974,93.064,96.817,97.015,93.833,87.802,104.381,106.588,100.426,107.856,109.796,99.057,102.438,102.42,104.899,99.308,100.523,92.655,92.655,103.555,91.201,94.782,97.945,101.286,89.666,100.466,83.146,83.146,96.277,107.366,106.754,97.705,91.788,99.795,99.795,91.783,91.783,99.374,99.374,96.604,79.76,79.76,88.606,90.734,90.734,81.919,81.919,91.851,91.851,98.022,98.022,98.268,111.444,95.938,95.162,89.402,105.682,94.794,94.794,91.079,91.079,107.14,97.932,97.932,102.462,102.462,105.224,100.602,100.602,114.857,107.134,91.183,99.62,99.62,82.14,92.116,84.769,101.361,99.771,93.425,98.27,107.313,96.312,112.864,83.909,98.171,98.171,100.805,100.805,99.616,99.616
2024-03-12,109.402,109.402,100.199,100.199,89.933,89.933,99.716,92.433,92.433,91.8,91.442,94.674,99.505,98.91,92.982,96.692,96.792,93.762,87.674,104.225,106.4,100.353,107.558,109.931,99.022,102.596,102.302,105.071,99.02,100.379,92.607,92.607,103.532,91.241,94.687,97.315,101.097,89.526,100.336,82.946,82.946,96.121,107.2,106.65,97.803,91.716,99.649,99.649,91.706,91.706,99.104,99.104,96.531,79.272,79.272,88.329,90.606,90.606,81.642,81.642,91.724,91.724,97.897,97.897,98.091,111.044,95.858,95.113,89.657,105.4,94.637,94.637,90.967,90.967,106.996,97.892,97.892,102.182,102.182,105.214,100.583,100.583,114.624,107.435,91.255,99.441,99.441,81.939,92.072,84.498,101.287,99.45,93.411,98.45,106.972,96.304,112.316,83.575,97.985,97.985,100.597,100.597,99.474,99.474
2024-03-13,109.327,109.327,99.882,99.882,89.693,89.693,99.554,92.399,92.399,91.847,91.264,94.539,99.453,98.843,92.97,96.618,96.688,93.714,87.501,104.166,106.346,100.249,107.515,109.512,98.996,102.479,102.117,104.918,98.896,100.31,92.458,92.458,103.284,91.238,94.614,97.133,100.941,89.182,100.244,82.691,82.691,96.027,106.899,106.437,97.918,91.959,99.533,99.533,91.576,91.576,99.008,99.008,96.446,79.34,79.34,88.281,90.576,90.576,81.458,81.458,91.75,91.75,97.731,97.731,97.966,111.29,95.755,94.968,89.531,105.202,94.506,94.506,90.938,90.938,106.72,97.705,97.705,102.049,102.049,105.112,100.347,100.347,114.399,107.271,91.112,99.397,99.397,81.751,91.959,84.317,101.184,99.29,93.405,98.475,106.844,96.264,112.269,83.431,97.821,97.821,100.35,100.35,99.224,99.224
2024-03-14,108.422,108.422,99.541,99.541,88.997,88.997,99.423,92.354,92.354,91.736,91.208,94.478,99.22,98.754,92.856,96.437,96.444,93.409,87.246,104.085,106.16,100.04,107.368,109.142,98.763,102.245,101.948,104.457,98.489,100.154,92.437,92.437,103.058,91.28,94.438,96.417,100.645,88.925,100.117,82.164,82.164,95.881,106.464,106.301,97.623,91.748,99.362,99.362,91.515,91.515,98.636,98.636,96.354,78.833,78.833,88.016,90.453,90.453,81.02,81.02,91.424,91.424,97.441,97.441,97.588,110.727,95.687,94.81,89.158,105.119,94.325,94.325,90.67,90.67,106.754,97.667,97.667,101.647,101.647,104.955,100.34,100.34,113.747,106.894,91.071,99.28,99.28,81.28,91.836,83.651,101.037,98.54,93.187,98.325,106.129,96.171,112.189,82.89,97.456,97.456,99.997,99.997,98.942,98.942
