date,BY6616951,00388WAL5,ZK2432019,00440FAA2,0010EPAF5,00139PAA6,EC5379283,00182EBJ7,00182FBJ4,00182FBM7,00182EBM0,04685A3R0,04686E3X8,04685A2P5,04686E2R2,05964HAS4,06407EAE5,06407F2E1,13607HVE9,14913R2Q9,14912L6T3,14913UAE0,14913UAA8,BP4094119,AM6439740,AQ6089074,AZ1269218,18977W2A7,18977X2A5,18977W2C3,18977X2C1,65334HAA0,191216DD9,205887AF9,126149AD5,21688ABD3,247025AE9,656531AJ9,30040WAV0,BZ5735841,125581GX0,38141GES9,022249AU0,404280CF4,40428HA44,BT5886671,44920UAT5,45434M2A9,45434L2A1,46115HBM8,472319AE2,BR4616800,24422EUB3,24422EWL9,ZL3159429,49327V2B9,ZI8616628,BQ2936111,501955AD0,53944YAD5,548661AK3,61238QAA6,ZS5181574,55279HAQ3,58769JAQ0,ZF2198033,59217GER6,59217HDB0,59217GFR5,59217HEB9,60687YAD1,JK7097401,BK8837647,BP5437630,632525AY7,63253QAG9,636180BS9,64952WDS9,64952XDN8,65535HAQ2,656029AG0,BR3763231,656029AH8,BR3764569,66815L2F5,66815M2F3,66815L2K4,66815M2K2,AR7148604,674599DD4,74735K2B7,EJ5291327,686330AP6,698900AG2,6944PL2H1,6944PM2K2,717081DV2,74256LEH8,74256MEH6,74256LEP0,74256MEQ6,742718FG9,744330AA9,74531EAA0,759470AX5,AQ1070327,780082AH6,BR3379137,913017AT6,AU7892469,78520LAB6,BS3534952,82938NAH7,AP0442859,78392BAH0,ZF0967975,ZK3662838,ZI7501953,86563VBM0,71644EAE2,87020PAV9,ZK9217678,879385AD4,880451AV1,89114TZG0,891160TD5,ZK8284158,89236THX6,89236TJK2,89236TJW6,89236TLD5,89236TKR5,25468PDM5,902613BB3,92857WAB6,929089AB6,949746TB7,961214ET6,96122XAQ1,96122WAQ3,96122QAC7,96122FAC1,96122QAA1,96122FAA5,96122QAC7.1,96122FAC1.1,96122QAA1.1,96122FAA5.1
2024-03-01,98.363,97.662,97.662,118.18,107.758,109.416,109.416,94.442,94.442,87.287,87.287,100.139,100.139,90.167,90.167,99.692,92.481,92.481,91.8,91.386,94.502,99.592,98.954,92.949,96.78,96.585,93.548,90.656,90.656,87.069,87.069,119.56,87.519,104.48,106.47,100.306,108.039,109.902,98.998,100.37,102.151,102.495,104.703,98.548,100.405,92.569,92.569,89.294,89.294,88.904,103.574,92.149,95.262,97.588,101.167,89.52,100.457,82.804,82.804,96.27,107.407,106.9,98.031,91.622,99.722,99.722,92.265,92.265,99.071,99.071,96.554,96.554,83.114,83.782,83.782,99.921,100.142,79.462,79.462,88.184,90.834,90.834,81.58,81.58,91.71,91.71,97.936,97.936,98.146,111.139,97.05,97.05,93.843,108.742,85.869,85.869,95.862,79.591,79.591,90.766,90.766,95.124,89.387,106.687,94.946,94.946,90.948,90.948,106.634,98.173,98.173,92.809,95.149,95.149,100.372,100.372,99.496,102.133,102.133,105.468,100.696,100.696,114.211,107.13,91.382,99.677,99.677,81.619,92.005,84.305,101.326,99.268,93.259,98.485,106.96,96.474,112.187,83.323,98.106,98.106,100.385,100.385,99.437,99.437,100.385,100.385,99.437,99.437
2024-03-04,98.272,97.668,97.668,118.702,107.246,109.103,109.103,94.321,94.321,86.917,86.917,100.157,100.157,89.642,89.642,99.555,92.449,92.449,91.727,91.434,94.635,99.545,98.977,92.813,96.622,96.54,93.221,90.67,90.67,87.041,87.041,118.763,87.493,104.464,106.401,100.124,107.779,109.67,98.9,100.088,101.954,102.283,104.553,98.45,100.21,92.321,92.321,89.104,89.104,88.891,103.571,91.477,94.616,97.233,101.049,89.722,100.358,82.716,82.716,96.072,107.165,106.623,97.75,91.677,99.616,99.616,91.658,91.658,99.183,99.183,96.398,96.398,82.96,83.567,83.567,99.666,99.991,79.169,79.169,88.043,90.606,90.606,81.384,81.384,91.511,91.511,97.779,97.779,98.038,110.765,96.958,96.958,93.5,108.049,85.627,85.627,95.815,79.738,79.738,90.724,90.724,94.91,89.391,105.754,94.7,94.7,90.818,90.818,107.271,97.927,97.927,92.694,94.932,94.932,99.909,99.909,99.189,102.052,102.052,105.244,100.659,100.659,114.084,107.399,91.162,99.514,99.514,81.473,91.913,84.252,101.179,99.112,93.151,98.391,106.681,96.253,112.018,83.128,97.994,97.994,100.203,100.203,99.351,99.351,100.203,100.203,99.351,99.351
2024-03-05,98.344,97.819,97.819,118.4,107.759,109.384,109.384,94.533,94.533,87.324,87.324,100.138,100.138,89.838,89.838,99.625,92.583,92.583,91.93,91.428,94.868,99.496,98.868,93.086,96.815,96.732,93.384,90.801,90.801,87.605,87.605,119.339,87.624,104.525,106.768,100.225,107.737,109.977,98.921,100.296,102.347,102.379,104.686,98.769,100.289,92.477,92.477,89.34,89.34,89.219,103.507,91.436,94.819,97.332,101.204,89.655,100.474,83.045,83.045,96.155,107.32,106.762,97.95,91.583,99.687,99.687,91.719,91.719,99.144,99.144,96.508,96.508,83.335,83.911,83.911,99.855,100.065,79.476,79.476,88.273,90.671,90.671,81.729,81.729,91.748,91.748,97.939,97.939,98.183,111.021,97.121,97.121,93.894,108.665,86.215,86.215,95.89,80.045,80.045,90.691,90.691,94.973,89.635,106.487,94.834,94.834,90.909,90.909,107.18,98.123,98.123,92.835,95.099,95.099,99.93,99.93,99.409,102.309,102.309,105.292,100.652,100.652,114.595,107.426,91.258,99.591,99.591,81.805,92.051,84.483,101.263,99.343,93.289,98.538,107.009,96.318,112.177,83.532,98.19,98.19,100.518,100.518,99.55,99.55,100.518,100.518,99.55,99.55
2024-03-06,98.405,97.838,97.838,118.784,107.911,109.964,109.964,94.642,94.642,87.632,87.632,100.163,100.163,89.913,89.913,99.687,92.603,92.603,91.906,91.513,94.69,99.533,98.917,93.082,96.793,96.834,93.569,90.845,90.845,87.64,87.64,119.818,87.659,104.603,106.721,100.333,108.025,109.787,98.929,100.349,102.489,102.447,104.703,98.889,100.363,92.441,92.441,89.481,89.481,89.551,103.582,91.479,95.119,97.765,101.293,89.647,100.468,83.216,83.216,96.214,107.524,106.811,97.752,91.426,99.724,99.724,91.79,91.79,99.282,99.282,96.507,96.507,83.473,84.096,84.096,100.015,100.109,79.565,79.565,88.383,90.743,90.743,81.98,81.98,91.735,91.735,98.019,98.019,98.224,111.268,97.236,97.236,94.221,109.07,86.061,86.061,95.894,80.205,80.205,90.93,90.93,95.01,89.782,106.159,94.851,94.851,91.043,91.043,107.411,98.165,98.165,92.865,95.139,95.139,100.025,100.025,99.441,102.37,102.37,105.313,100.804,100.804,114.742,107.653,91.318,99.613,99.613,82.012,92.026,84.768,101.29,99.716,93.325,98.551,107.181,96.355,112.954,83.766,98.17,98.17,100.643,100.643,99.713,99.713,100.643,100.643,99.713,99.713
2024-03-07,98.529,98.032,98.032,118.744,108.496,109.888,109.888,94.789,94.789,87.816,87.816,100.302,100.302,90.236,90.236,99.922,92.725,92.725,92.019,91.603,94.797,99.783,99.025,93.165,96.999,96.975,93.827,91.027,91.027,87.705,87.705,119.802,87.868,104.661,106.851,100.467,107.973,110.08,99.097,100.511,102.732,102.569,105.107,99.333,100.563,92.559,92.559,89.449,89.449,89.985,103.854,91.421,95.083,97.958,101.426,89.809,100.602,83.393,83.393,96.32,107.663,106.984,98.23,91.76,99.844,99.844,91.876,91.876,99.498,99.498,96.658,96.658,83.743,84.239,84.239,100.19,100.296,79.763,79.763,88.616,90.823,90.823,82.157,82.157,91.911,91.911,98.145,98.145,98.403,111.497,97.298,97.298,94.367,109.283,86.221,86.221,96.001,80.448,80.448,91.074,91.074,95.22,89.981,105.844,95.028,95.028,91.154,91.154,107.703,98.028,98.028,93.0,95.338,95.338,100.352,100.352,99.564,102.52,102.52,105.436,100.772,100.772,114.895,107.658,91.452,99.728,99.728,82.041,92.143,84.883,101.401,99.767,93.458,98.595,107.533,96.509,113.214,83.973,98.309,98.309,100.88,100.88,99.822,99.822,100.88,100.88,99.822,99.822
2024-03-08,98.427,98.147,98.147,118.967,108.329,110.173,110.173,94.849,94.849,88.194,88.194,100.435,100.435,90.368,90.368,100.051,92.708,92.708,92.087,91.664,94.886,99.738,99.1,93.206,97.129,97.062,94.021,91.239,91.239,87.83,87.83,119.488,87.973,104.663,106.889,100.566,108.112,110.254,99.235,100.576,102.911,102.679,105.603,99.607,100.68,92.734,92.734,89.745,89.745,90.21,103.92,91.318,94.983,98.126,101.492,90.08,100.631,83.31,83.31,96.386,107.631,107.197,98.361,91.97,99.965,99.965,92.009,92.009,99.676,99.676,96.74,96.74,83.732,84.281,84.281,100.35,100.331,79.974,79.974,88.726,91.096,91.096,82.138,82.138,91.973,91.973,98.361,98.361,98.521,111.541,97.363,97.363,94.495,109.193,86.294,86.294,96.112,80.337,80.337,91.078,91.078,95.307,90.206,105.976,95.159,95.159,91.151,91.151,107.8,98.183,98.183,93.035,95.457,95.457,100.262,100.262,99.764,102.691,102.691,105.376,100.823,100.823,115.083,107.604,91.479,99.784,99.784,82.171,92.255,84.858,101.538,99.805,93.584,98.729,107.884,96.602,113.087,84.096,98.431,98.431,101.014,101.014,99.795,99.795,101.014,101.014,99.795,99.795
2024-03-11,98.249,98.018,98.018,118.285,108.314,110.145,110.145,94.847,94.847,87.769,87.769,100.545,100.545,90.498,90.498,99.845,92.647,92.647,91.936,91.604,95.052,99.65,98.996,93.185,96.866,97.096,93.892,91.204,91.204,87.738,87.738,119.982,87.853,104.509,106.771,100.463,107.992,110.012,99.116,100.553,102.863,102.521,105.041,99.376,100.539,92.756,92.756,89.39,89.39,89.905,103.725,91.407,94.868,98.015,101.359,89.85,100.517,83.273,83.273,96.323,107.444,106.89,97.985,92.074,99.822,99.822,91.847,91.847,99.431,99.431,96.638,96.638,83.567,84.405,84.405,100.143,100.24,79.853,79.853,88.708,90.814,90.814,82.032,82.032,91.924,91.924,98.126,98.126,98.365,111.476,97.23,97.23,94.311,109.056,86.356,86.356,95.977,79.883,79.883,90.995,90.995,95.243,89.833,105.921,94.893,94.893,91.153,91.153,107.485,98.114,98.114,92.928,95.262,95.262,100.202,100.202,99.491,102.502,102.502,105.33,100.656,100.656,114.925,107.373,91.336,99.664,99.664,82.188,92.157,84.916,101.381,99.84,93.485,98.43,107.49,96.403,113.288,83.994,98.263,98.263,100.848,100.848,99.745,99.745,100.848,100.848,99.745,99.745
2024-03-12,98.141,97.921,97.921,118.23,108.27,109.584,109.584,94.654,94.654,87.493,87.493,100.277,100.277,90.088,90.088,99.91,92.508,92.508,91.888,91.494,94.766,99.55,98.94,93.11,96.755,96.88,93.832,91.155,91.155,87.784,87.784,119.612,87.705,104.332,106.595,100.383,107.76,110.029,99.065,100.535,102.827,102.435,105.209,99.128,100.406,92.853,92.853,89.114,89.114,90.305,103.691,91.536,94.783,97.378,101.175,89.774,100.382,83.089,83.089,96.178,107.311,106.753,98.065,91.827,99.678,99.678,91.773,91.773,99.153,99.153,96.564,96.564,83.32,83.993,83.993,99.929,100.146,79.455,79.455,88.412,90.689,90.689,81.755,81.755,91.838,91.838,97.991,97.991,98.181,111.101,97.131,97.131,94.16,108.877,85.104,85.104,95.901,80.141,80.141,90.928,90.928,95.183,89.837,105.716,94.735,94.735,91.051,91.051,107.273,98.101,98.101,92.813,95.118,95.118,100.154,100.154,99.552,102.235,102.235,105.265,100.637,100.637,114.733,107.58,91.287,99.496,99.496,81.978,92.119,84.586,101.333,99.543,93.45,98.515,107.173,96.435,112.578,83.63,98.067,98.067,100.649,100.649,99.597,99.597,100.649,100.649,99.597,99.597
2024-03-13,98.027,97.927,97.927,117.994,107.958,109.497,109.497,94.486,94.486,87.336,87.336,100.013,100.013,89.884,89.884,99.609,92.532,92.532,91.905,91.337,94.698,99.5,98.883,93.12,96.682,96.772,93.753,91.033,91.033,87.415,87.415,119.347,87.542,104.373,106.501,100.271,107.617,109.653,99.07,100.422,102.629,102.24,105.147,98.967,100.342,92.706,92.706,88.919,88.919,91.07,103.417,91.555,94.739,97.205,101.028,89.42,100.275,82.783,82.783,96.092,107.062,106.529,98.041,92.052,99.583,99.583,91.651,91.651,99.066,99.066,96.491,96.491,83.088,83.934,83.934,99.738,100.134,79.484,79.484,88.362,90.63,90.63,81.57,81.57,91.834,91.834,97.842,97.842,98.029,111.373,96.999,96.999,93.908,108.85,85.783,85.783,95.791,79.635,79.635,90.845,90.845,95.021,89.691,105.452,94.581,94.581,90.994,90.994,106.984,97.881,97.881,92.715,94.983,94.983,100.009,100.009,99.391,102.106,102.106,105.178,100.438,100.438,114.514,107.421,91.186,99.449,99.449,81.795,92.003,84.436,101.226,99.376,93.435,98.531,107.08,96.369,112.602,83.483,97.9,97.9,100.377,100.377,99.365,99.365,100.377,100.377,99.365,99.365
2024-03-14,97.921,97.499,97.499,117.664,106.572,108.632,108.632,94.203,94.203,86.912,86.912,99.644,99.644,89.348,89.348,99.48,92.508,92.508,91.783,91.252,94.545,99.272,98.782,92.995,96.517,96.527,93.452,90.897,90.897,87.164,87.164,118.487,87.294,104.26,106.307,100.07,107.505,109.324,98.829,100.232,102.396,102.017,104.607,98.556,100.167,92.561,92.561,88.513,88.513,89.724,103.165,91.575,94.514,96.508,100.73,89.143,100.145,82.268,82.268,95.944,106.597,106.512,97.81,91.845,99.388,99.388,91.573,91.573,98.745,98.745,96.391,96.391,82.905,83.466,83.466,99.457,99.86,79.02,79.02,88.085,90.508,90.508,81.124,81.124,91.519,91.519,97.543,97.543,97.671,110.798,96.735,96.735,93.26,108.212,85.699,85.699,95.731,79.146,79.146,90.721,90.721,94.883,89.272,105.612,94.403,94.403,90.739,90.739,106.965,97.759,97.759,92.585,94.771,94.771,99.678,99.678,98.837,101.681,101.681,105.066,100.423,100.423,113.864,107.013,91.135,99.341,99.341,81.34,91.881,83.749,101.08,98.644,93.244,98.392,106.372,96.259,112.401,82.993,97.544,97.544,100.052,100.052,99.076,99.076,100.052,100.052,99.076,99.076
